pid,sex,group,visit1_date,visit2_date,visit1_blactate_begin,visit2_blactate_begin,visit1_vo2_max,visit2_vo2_max,visit1_vco2_max,visit2_vco2_max,visit1_rer_max,visit2_rer_max,visit1_speed_max,visit2_speed_max,visit1_blactate_end,visit2_blactate_end,visit1_comments,visit2_comments
10700102,female,1w,12FEB2019,,1.4,NA,68.29,NA,65.24,NA,0.96,NA,23.4,NA,7.9,NA,,
10760008,female,1w,13FEB2019,,1.3,NA,61.04,NA,59.03,NA,0.97,NA,21.6,NA,6.1,NA,,
10770666,female,1w,13FEB2019,,1.4,NA,68.63,NA,70.54,NA,1.03,NA,25.2,NA,15.2,NA,,
10780629,female,1w,13FEB2019,,1.6,NA,73.76,NA,71.12,NA,0.96,NA,25.2,NA,8.7,NA,,
10784616,female,1w,13FEB2019,,0.8,NA,68.69,NA,68.36,NA,1,NA,27,NA,8.6,NA,,
10833331,female,1w,14FEB2019,,1.5,NA,68.46,NA,68.4,NA,1,NA,25.2,NA,9.6,NA,,
10886028,female,1w,14FEB2019,,1.7,NA,62.09,NA,62.96,NA,1.01,NA,23.4,NA,9.4,NA,,
10901000,female,1w,14FEB2019,,1.3,NA,63,NA,68.91,NA,1.09,NA,23.4,NA,12.1,NA,,
10901434,female,1w,14FEB2019,,1.2,NA,65.36,NA,70.16,NA,1.07,NA,23.4,NA,9.1,NA,,
10914331,female,1w,14FEB2019,,2,NA,75.35,NA,77.64,NA,1.03,NA,23.4,NA,10.8,NA,,
10934529,female,1w,15FEB2019,,2,NA,73.81,NA,74.19,NA,1.01,NA,27,NA,7.9,NA,,
10950486,female,1w,15FEB2019,,0.9,NA,67.93,NA,71.82,NA,1.06,NA,25.2,NA,9.1,NA,,
10950648,female,1w,15FEB2019,,1,NA,61.69,NA,63.03,NA,1.02,NA,23.4,NA,8.8,NA,,
10953744,female,1w,15FEB2019,,1.3,NA,71.3,NA,67.69,NA,0.95,NA,25.2,NA,16.2,NA,,
10962735,female,1w,15FEB2019,,1.3,NA,65.99,NA,69.41,NA,1.05,NA,25.2,NA,12.2,NA,,
10680837,female,2w,12FEB2019,,1.5,NA,77.05,NA,78.06,NA,1.01,NA,27,NA,10.9,NA,,
10702741,female,2w,12FEB2019,,1.5,NA,73.37,NA,75.96,NA,1.04,NA,27,NA,10.1,NA,,
10729518,female,2w,12FEB2019,,1.4,NA,78.99,NA,80.55,NA,1.02,NA,28.8,NA,13,NA,,
10732306,female,2w,12FEB2019,,1.1,NA,73.46,NA,77.91,NA,1.06,NA,25.2,NA,11.5,NA,,
